Consent Block,Age Block,stayed_longer,familiarity,danceability,song
Do you consent?,Are you 18 years or older?,Did you listen to the song for more than 30 seconds?,Are you familiar with the song that was played?,To what extent could you dance to this song?,song
"{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""song""}"
Yes,Yes,No,Yes,5,slow
Yes,Yes,Yes,No,3,fast
Yes,Yes,Yes,No,2,original
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,No,4,original
Yes,Yes,Yes,Yes,5,original
Yes,Yes,Yes,Yes,3,slow
Yes,Yes,Yes,Yes,7,fast
Yes,Yes,Yes,Yes,6,slow
Yes,Yes,Yes,No,6,fast
Yes,Yes,Yes,No,3,original
Yes,Yes,No,Yes,4,original
Yes,Yes,No,No,4,fast
Yes,Yes,Yes,Yes,5,slow
Yes,Yes,Yes,Yes,4,fast
Yes,Yes,Yes,No,6,slow
Yes,Yes,Yes,No,1,original
Yes,Yes,Yes,No,4,original
Yes,Yes,Yes,Yes,2,slow
Yes,Yes,Yes,No,5,fast
Yes,Yes,Yes,Yes ,6,fast
Yes,Yes,Yes ,No,3,slow
Yes,Yes,No,Yes,1,original
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,Yes,5,slow
Yes,Yes,No,No,4,original
Yes,Yes,Yes,No,4,fast
Yes,Yes,Yes,Yes,2,slow
Yes,Yes,Yes,No,5,fast
Yes,Yes,Yes,Yes,2,slow
Yes,Yes,Yes,No,5,original
Yes,Yes,Yes,No,3,fast
Yes,Yes,Yes,No,2,original
Yes,Yes,Yes,No,4,fast
Yes,Yes,Yes,No,2,slow
Yes,Yes,Yes,Yes,2,slow
Yes,Yes,Yes,Yes,3,original
Yes,Yes,No,Yes,4,slow
Yes,Yes,Yes,Yes,6,original
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,No,2,slow
Yes,Yes,No,Yes,4,original
Yes,Yes,Yes,Yes,7,original
Yes,Yes,Yes,No,7,slow
Yes,Yes,Yes,Yes,7,fast
Yes,Yes,Yes,Yes,5,slow
Yes,Yes,Yes,Yes,5,original
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,No,1,slow
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,No,Yes,7,original
Yes,Yes,Yes,No,5,fast
Yes,Yes,Yes,No,2,slow
Yes,Yes,Yes,No,5,slow
Yes,Yes,Yes,No,3,slow
Yes,Yes,Yes,Yes,6,slow
Yes,Yes,Yes,No,6,fast
Yes,Yes,Yes,Yes,5,original
Yes,Yes,Yes,No,4,fast
Yes,Yes,No,Yes,6,fast
Yes,Yes,Yes,Yes,5,original
Yes,Yes,Yes,Yes,1,original
Yes,Yes,No,Yes,5,slow
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,Yes,6,fast
Yes,Yes,Yes,Yes,6,original
Yes,Yes,Yes,Yes,7,slow
Yes,Yes,Yes,Yes,7,fast
Yes,Yes,Yes,No,5,original
Yes,Yes,Yes,Yes,7,fast
Yes,Yes,Yes,Yes,6,original
Yes,Yes,Yes,Yes,6,slow
Yes,Yes,Yes,No,6,original
Yes,Yes,Yes,No,4,fast
Yes,Yes,Yes,No,1,original
Yes,Yes,Yes,No,1,slow
Yes,Yes,No,Yes,7,fast